"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1",2235.25229169977,-2.24650197479253,0.676995658751956,-3.31834029620509,0.000905540890291043,0.00166764889754314
"2",759.92763127659,-1.28392081305504,0.305342930659097,-4.20484866076197,2.61256910864405e-05,5.98715199900975e-05
"3",2786.67109170902,-0.701893306914471,0.0574040551167428,-12.2272425787173,2.22359312771728e-34,1.86423108968095e-33
"4",5233.49750187018,-11.8870640102947,0.983395675335792,-12.0877733230174,1.22563571260587e-33,1.00509118751434e-32
"5",1.76844444941403,2.73072696814084,1.3860554726825,1.97014262557323,0.0488220268851835,0.0671911343923552
"6",3061.0591698892,-5.09760307961643,0.306651024902425,-16.623466630312,4.71270047032036e-62,7.39208490135522e-61
"7",1554.1065906426,-4.0483027024775,0.228839012603472,-17.6906142725424,4.95325070055294e-70,8.83799251161742e-69
"8",118276.767630972,-2.70192673515543,0.187152191171023,-14.4370563777496,3.02487495702572e-47,3.48638560511167e-46
"9",13398.4454487375,0.323164696383385,0.03602284925921,8.97110314783779,2.93559389747342e-19,1.51015912662512e-18
"10",25816.9166074669,-0.622568592085398,0.201693151338078,-3.08671161095524,0.00202383838962352,0.00352115635520462
"11",3233.2652397132,0.0688500726209675,0.0639902625019748,1.07594608818557,0.281951368151553,0.334566449970501
"12",4335.09065123928,-0.625377565723853,0.166622934444241,-3.75325022218434,0.00017455645721034,0.000359703465031315
"13",10546.7805111226,0.121859421762878,0.0332770650865983,3.66196422207783,0.000250288820896551,0.000504731570330657
"14",8679.31326313338,0.94122912997664,0.0503114072819189,18.7080660396256,4.25539068795914e-78,8.61766560211819e-77
"15",48.0039986070757,1.40582380710605,0.248163066849597,5.66491954243163,1.47093539389606e-08,4.46115649257913e-08
"16",1.7937312404807,0.871010312832712,1.17317828552729,0.742436442591701,0.457822946580651,0.516292622241997
"17",502.691042220285,1.08447277462723,0.230785056385482,4.69905977281228,2.61361957688347e-06,6.64339896575537e-06
"18",4.89923777038312,1.43738311152616,0.532689134744238,2.69835259961947,0.00696835896829984,0.0110639611336197
"19",37.9618687293254,-7.26749526674965,1.13088112404412,-6.42640071731013,1.30660691163054e-10,4.48551445548613e-10
"20",3815.42869216285,-1.54894695716215,0.40131347068364,-3.85969340755871,0.000113529373102888,0.000239788934204581
"21",558.086285777502,0.785930105344476,0.156488627703819,5.02228255737522,5.10609899346602e-07,1.3806712432732e-06
"22",6.68210135768814,-1.5832148216278,0.737963607475098,-2.1453833300055,0.0319222108212922,0.0453358980583238
"23",9.64507302748525,0.0464836659437348,0.44906546971339,0.103512002322072,0.91755662418944,0.933352316576146
"24",7.8226342200667,-0.71919601333108,0.647585091864645,-1.11058148553149,0.266748535740383,0.318356452629492
"25",282.989996504028,-3.74878588249922,0.472584694390773,-7.93251649279907,2.14749188201949e-15,9.42819972833698e-15
"26",3511.77344915265,-0.668652399435578,0.0851940626397555,-7.8485798037709,4.2077483932242e-15,1.82459137413145e-14
"27",5098.52329786224,0.818275441288009,0.201374914472732,4.06344277503747,4.8354180954193e-05,0.000107058005669658
"28",844.500701027739,-0.25616610825695,0.0827636503339946,-3.09515236729151,0.00196711815854182,0.00342800289945264
"29",0.934513971665779,0.929012421377644,1.28797941348914,0.721294464529481,0.470728362001628,0.529048147340808
"30",234.506145057984,-3.54620330203926,0.464540344699186,-7.63378970740552,2.27951632411871e-14,9.57652170838671e-14
"31",28.051639373753,-1.00829655254996,0.403805121814009,-2.49698802239161,0.0125253187301553,0.0190256051914869
"32",27234.8285739212,-1.082042747086,0.265826122534954,-4.07049065294071,4.69142235567668e-05,0.000104177350482426
"33",2512.00895960375,-0.570342145519022,0.146240438028198,-3.90003034187473,9.61806335895866e-05,0.000205155229565426
"34",476.05132815046,-0.442311613806152,0.336645383125513,-1.3138799341301,0.188886612320299,0.232805886775801
"35",445.306741058427,-1.88387096245788,0.992546799631742,-1.89801726543961,0.0576938076718086,0.0784559392787978
"36",359.908481802119,-3.47990607900264,0.948524811442355,-3.66875598510806,0.000243733572305679,0.000492375489586956
"37",1205.98555125895,-0.162715335369844,0.128244121418859,-1.2687937159973,0.204514646973807,0.250279858066959
"38",3.43347545607252,1.21969861161079,0.699359028224966,1.74402354496873,0.0811549843183389,0.107134514110835
"39",4.48562734532452,2.04012762718017,0.919951096395311,2.21764791104016,0.0265788484341233,0.0382733642866269
"40",15.5742112576847,-0.400412889832038,0.609919255505343,-0.656501473297936,0.511501519921753,0.568356982530263
"41",2092.99883043803,-10.6172379774426,1.03483772898933,-10.2598095141079,1.06917436700241e-24,6.57900660779584e-24
"42",8889.2447246729,0.387742614885709,0.13420448428562,2.88919268942234,0.00386232320591601,0.00642132632442425
"43",2552.18521665945,-1.74182839767938,0.0832623113844604,-20.919769926114,3.53816791133099e-97,9.56858137023586e-96
"44",159.280616109842,-0.213382817825093,0.177211229983939,-1.20411566380095,0.228544876523475,0.276879181262185
"45",30792.9580270567,-0.523924915131181,0.187389355089032,-2.79591610143625,0.00517528333924953,0.00841446840703085
"46",2321.94679906243,-6.17211087976307,0.70783224594801,-8.71973679511686,2.78849236367309e-18,1.38215016497603e-17
"47",3.24038987080116,0.128521879437585,0.916568634003269,0.140220682521334,0.888485631054631,0.908871232478604
"48",26870.0882947297,-0.394428143334614,0.13525035870332,-2.91628168025651,0.00354230535491706,0.00592639742012401
"49",1962.83798980099,5.64487567366995,0.292928410623461,19.2704956875148,9.50216026325065e-83,2.07531991369781e-81
